125 6963
2 1 4
3 1 5
4 1 6
4 2 7
4 3 8
5 1 7
5 2 8
5 3 9
5 4 10
6 1 8
6 2 9
6 3 10
6 4 11
6 5 12
7 1 9
7 2 10
7 3 11
7 4 12
7 5 13
7 6 14
8 1 10
8 2 11
8 3 12
8 4 13
8 5 14
8 6 15
8 7 16
9 1 11
9 2 12
9 3 13
9 4 14
9 5 15
9 6 16
9 7 17
9 8 18
10 1 12
10 2 13
10 3 14
10 4 15
10 5 16
10 6 17
10 7 18
10 8 19
10 9 20
11 1 13
11 2 14
11 3 15
11 4 16
11 5 17
11 6 18
11 7 19
11 8 20
11 9 21
11 10 22
12 2 15
12 3 16
12 4 17
12 5 18
12 6 19
12 7 20
12 10 23
12 11 24
13 1 15
13 3 17
13 4 18
13 5 19
13 6 20
13 7 21
13 8 22
13 9 23
13 10 24
13 11 25
13 12 26
14 1 16
14 2 17
14 3 18
14 4 19
14 5 20
14 8 23
14 9 24
14 10 25
14 11 26
14 12 27
15 1 17
15 3 19
15 4 20
15 5 21
15 7 23
15 8 24
15 9 25
15 10 26
15 13 29
15 14 30
16 1 18
16 2 19
16 4 21
16 5 22
16 6 23
16 7 24
16 8 25
16 9 26
16 10 27
16 11 28
16 12 29
16 13 30
16 14 31
16 15 32
17 1 19
17 2 20
17 3 21
17 4 22
17 5 23
17 6 24
17 7 25
17 8 26
17 9 27
17 10 28
17 11 29
17 12 30
17 13 31
17 14 32
17 15 33
17 16 34
18 1 20
18 2 21
18 3 22
18 4 23
18 5 24
18 6 25
18 7 26
18 8 27
18 9 28
18 10 29
18 11 30
18 12 31
18 13 32
18 14 33
18 15 34
18 16 35
18 17 36
19 1 21
19 2 22
19 3 23
19 4 24
19 5 25
19 6 26
19 7 27
19 8 28
19 9 29
19 10 30
19 11 31
19 12 32
19 13 33
19 14 34
19 15 35
19 16 36
19 17 37
19 18 38
20 1 22
20 3 24
20 4 25
20 6 27
20 7 28
20 8 29
20 9 30
20 11 32
20 12 33
20 13 34
20 14 35
20 15 36
20 16 37
20 17 38
20 18 39
21 1 23
21 2 24
21 3 25
21 4 26
21 5 27
21 6 28
21 7 29
21 8 30
21 9 31
21 10 32
21 11 33
21 12 34
21 13 35
21 14 36
21 15 37
21 17 39
21 18 40
21 19 41
21 20 42
22 1 24
22 2 25
22 6 29
22 7 30
22 8 31
22 9 32
22 10 33
22 11 34
22 12 35
22 13 36
22 14 37
22 15 38
22 16 39
22 17 40
22 18 41
22 19 42
22 20 43
22 21 44
23 1 25
23 2 26
23 3 27
23 4 28
23 6 30
23 7 31
23 8 32
23 9 33
23 10 34
23 11 35
23 12 36
23 13 37
23 14 38
23 15 39
23 17 41
23 18 42
23 19 43
23 20 44
23 21 45
24 1 26
24 2 27
24 3 28
24 4 29
24 5 30
24 6 31
24 7 32
24 8 33
24 9 34
24 10 35
24 11 36
24 12 37
24 13 38
24 14 39
24 15 40
24 16 41
24 17 42
24 18 43
24 19 44
24 20 45
24 22 47
24 23 48
25 1 27
25 2 28
25 3 29
25 5 31
25 6 32
25 7 33
25 8 34
25 9 35
25 10 36
25 11 37
25 12 38
25 13 39
25 14 40
25 15 41
25 17 43
25 18 44
25 19 45
25 20 46
25 22 48
25 24 50
26 1 28
26 2 29
26 3 30
26 4 31
26 5 32
26 6 33
26 7 34
26 8 35
26 10 37
26 12 39
26 13 40
26 14 41
26 15 42
26 16 43
26 17 44
26 18 45
26 19 46
26 20 47
26 21 48
26 22 49
26 23 50
26 24 1
26 25 2
27 1 29
27 2 30
27 3 31
27 4 32
27 6 34
27 7 35
27 8 36
27 9 37
27 10 38
27 11 39
27 12 40
27 13 41
27 14 42
27 15 43
27 16 44
27 17 45
27 19 47
27 20 48
27 22 50
27 23 1
27 24 2
27 25 3
28 1 30
28 2 31
28 3 32
28 4 33
28 6 35
28 7 36
28 8 37
28 9 38
28 10 39
28 11 40
28 12 41
28 13 42
28 15 44
28 16 45
28 17 46
28 18 47
28 19 48
28 20 49
28 21 50
28 22 1
28 23 2
28 24 3
28 26 5
28 27 6
29 1 31
29 2 32
29 3 33
29 4 34
29 5 35
29 6 36
29 7 37
29 8 38
29 9 39
29 11 41
29 12 42
29 13 43
29 14 44
29 15 45
29 17 47
29 18 48
29 19 49
29 20 50
29 21 1
29 22 2
29 23 3
29 24 4
29 25 5
29 26 6
29 27 7
29 28 8
30 1 32
30 2 33
30 3 34
30 4 35
30 5 36
30 6 37
30 8 39
30 9 40
30 10 41
30 11 42
30 12 43
30 13 44
30 14 45
30 15 46
30 16 47
30 19 50
30 20 1
30 22 3
30 23 4
30 24 5
30 25 6
30 26 7
30 27 8
30 28 9
30 29 10
31 1 33
31 2 34
31 5 37
31 7 39
31 8 40
31 9 41
31 10 42
31 11 43
31 12 44
31 13 45
31 14 46
31 15 47
31 16 48
31 17 49
31 18 50
31 19 1
31 20 2
31 21 3
31 23 5
31 24 6
31 25 7
31 26 8
31 29 11
31 30 12
32 1 34
32 2 35
32 3 36
32 4 37
32 5 38
32 6 39
32 7 40
32 8 41
32 10 43
32 11 44
32 12 45
32 13 46
32 14 47
32 16 49
32 17 50
32 18 1
32 19 2
32 20 3
32 21 4
32 22 5
32 24 7
32 25 8
32 26 9
32 27 10
32 28 11
32 29 12
32 30 13
32 31 14
33 1 35
33 2 36
33 3 37
33 4 38
33 6 40
33 7 41
33 8 42
33 9 43
33 11 45
33 13 47
33 14 48
33 15 49
33 16 50
33 18 2
33 19 3
33 20 4
33 21 5
33 22 6
33 23 7
33 24 8
33 25 9
33 26 10
33 27 11
33 28 12
33 29 13
33 30 14
33 31 15
33 32 16
34 1 36
34 2 37
34 5 40
34 6 41
34 7 42
34 8 43
34 9 44
34 11 46
34 12 47
34 13 48
34 14 49
34 15 50
34 16 1
34 17 2
34 18 3
34 19 4
34 20 5
34 21 6
34 22 7
34 23 8
34 24 9
34 25 10
34 26 11
34 27 12
34 28 13
34 29 14
34 30 15
34 31 16
34 33 18
35 1 37
35 2 38
35 4 40
35 5 41
35 6 42
35 7 43
35 8 44
35 9 45
35 10 46
35 11 47
35 12 48
35 13 49
35 15 1
35 16 2
35 17 3
35 18 4
35 19 5
35 21 7
35 22 8
35 23 9
35 24 10
35 26 12
35 27 13
35 28 14
35 29 15
35 30 16
35 31 17
35 32 18
35 33 19
35 34 20
36 1 38
36 2 39
36 3 40
36 4 41
36 5 42
36 6 43
36 7 44
36 8 45
36 9 46
36 10 47
36 11 48
36 12 49
36 13 50
36 14 1
36 15 2
36 16 3
36 17 4
36 18 5
36 19 6
36 20 7
36 21 8
36 22 9
36 23 10
36 24 11
36 25 12
36 26 13
36 27 14
36 28 15
36 29 16
36 30 17
36 31 18
36 32 19
36 34 21
36 35 22
37 2 40
37 3 41
37 4 42
37 5 43
37 6 44
37 7 45
37 8 46
37 9 47
37 10 48
37 11 49
37 12 50
37 13 1
37 14 2
37 15 3
37 16 4
37 17 5
37 18 6
37 19 7
37 20 8
37 21 9
37 23 11
37 24 12
37 25 13
37 27 15
37 28 16
37 29 17
37 30 18
37 31 19
37 32 20
37 33 21
37 34 22
37 35 23
37 36 24
38 1 40
38 2 41
38 3 42
38 4 43
38 6 45
38 7 46
38 8 47
38 9 48
38 10 49
38 11 50
38 12 1
38 13 2
38 14 3
38 16 5
38 17 6
38 18 7
38 19 8
38 20 9
38 22 11
38 23 12
38 24 13
38 26 15
38 27 16
38 29 18
38 30 19
38 31 20
38 32 21
38 33 22
38 34 23
38 35 24
38 36 25
38 37 26
39 1 41
39 2 42
39 3 43
39 4 44
39 5 45
39 6 46
39 7 47
39 8 48
39 9 49
39 10 50
39 11 1
39 12 2
39 13 3
39 14 4
39 15 5
39 16 6
39 17 7
39 18 8
39 19 9
39 20 10
39 21 11
39 22 12
39 23 13
39 24 14
39 25 15
39 26 16
39 27 17
39 28 18
39 29 19
39 30 20
39 31 21
39 32 22
39 33 23
39 34 24
39 35 25
39 36 26
39 37 27
39 38 28
40 1 42
40 2 43
40 3 44
40 4 45
40 5 46
40 6 47
40 7 48
40 9 50
40 10 1
40 11 2
40 12 3
40 13 4
40 14 5
40 15 6
40 17 8
40 18 9
40 19 10
40 20 11
40 21 12
40 22 13
40 23 14
40 24 15
40 25 16
40 26 17
40 27 18
40 28 19
40 29 20
40 30 21
40 31 22
40 32 23
40 33 24
40 34 25
40 35 26
40 36 27
40 38 29
40 39 30
41 1 43
41 2 44
41 3 45
41 4 46
41 5 47
41 6 48
41 7 49
41 8 50
41 9 1
41 10 2
41 11 3
41 12 4
41 13 5
41 14 6
41 15 7
41 16 8
41 17 9
41 18 10
41 19 11
41 20 12
41 21 13
41 22 14
41 24 16
41 25 17
41 26 18
41 27 19
41 28 20
41 29 21
41 30 22
41 31 23
41 32 24
41 33 25
41 34 26
41 35 27
41 36 28
41 38 30
41 39 31
41 40 32
42 2 45
42 4 47
42 5 48
42 6 49
42 7 50
42 8 1
42 9 2
42 10 3
42 11 4
42 12 5
42 13 6
42 15 8
42 16 9
42 18 11
42 19 12
42 20 13
42 21 14
42 22 15
42 23 16
42 24 17
42 26 19
42 27 20
42 28 21
42 29 22
42 30 23
42 31 24
42 32 25
42 33 26
42 35 28
42 36 29
42 37 30
42 38 31
42 39 32
42 40 33
42 41 34
43 1 45
43 2 46
43 3 47
43 4 48
43 5 49
43 6 50
43 7 1
43 8 2
43 9 3
43 10 4
43 11 5
43 13 7
43 14 8
43 15 9
43 16 10
43 18 12
43 19 13
43 20 14
43 21 15
43 22 16
43 23 17
43 24 18
43 25 19
43 26 20
43 27 21
43 28 22
43 29 23
43 30 24
43 31 25
43 32 26
43 33 27
43 34 28
43 35 29
43 36 30
43 38 32
43 39 33
43 40 34
43 41 35
43 42 36
44 1 46
44 2 47
44 3 48
44 4 49
44 5 50
44 6 1
44 7 2
44 9 4
44 10 5
44 11 6
44 12 7
44 13 8
44 14 9
44 15 10
44 17 12
44 18 13
44 19 14
44 20 15
44 21 16
44 22 17
44 23 18
44 24 19
44 25 20
44 26 21
44 28 23
44 29 24
44 31 26
44 32 27
44 33 28
44 34 29
44 35 30
44 36 31
44 37 32
44 38 33
44 39 34
44 40 35
44 41 36
44 42 37
44 43 38
45 1 47
45 2 48
45 3 49
45 4 50
45 5 1
45 6 2
45 7 3
45 8 4
45 9 5
45 10 6
45 11 7
45 12 8
45 13 9
45 14 10
45 15 11
45 16 12
45 17 13
45 18 14
45 19 15
45 20 16
45 21 17
45 22 18
45 23 19
45 24 20
45 25 21
45 26 22
45 27 23
45 28 24
45 29 25
45 30 26
45 31 27
45 32 28
45 33 29
45 34 30
45 35 31
45 36 32
45 37 33
45 38 34
45 39 35
45 40 36
45 41 37
45 42 38
45 43 39
45 44 40
46 1 48
46 2 49
46 3 50
46 4 1
46 5 2
46 6 3
46 7 4
46 8 5
46 10 7
46 11 8
46 12 9
46 13 10
46 14 11
46 15 12
46 16 13
46 17 14
46 18 15
46 19 16
46 20 17
46 21 18
46 22 19
46 23 20
46 24 21
46 25 22
46 26 23
46 27 24
46 28 25
46 30 27
46 31 28
46 32 29
46 33 30
46 34 31
46 35 32
46 36 33
46 37 34
46 39 36
46 40 37
46 41 38
46 43 40
46 44 41
46 45 42
47 1 49
47 2 50
47 3 1
47 4 2
47 5 3
47 6 4
47 7 5
47 8 6
47 9 7
47 10 8
47 11 9
47 12 10
47 13 11
47 14 12
47 15 13
47 16 14
47 17 15
47 18 16
47 19 17
47 20 18
47 21 19
47 22 20
47 23 21
47 24 22
47 25 23
47 26 24
47 27 25
47 28 26
47 29 27
47 30 28
47 31 29
47 32 30
47 33 31
47 34 32
47 35 33
47 36 34
47 37 35
47 38 36
47 39 37
47 40 38
47 41 39
47 42 40
47 43 41
47 44 42
47 45 43
48 1 50
